Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
mstephenson@fernandez.com,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,34.497267725,12.655651149,39.577668020,4.082620633,587.951053968
hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,31.926272026,11.109460729,37.268958868,2.664034182,392.204933444
pallen@yahoo.com,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,33.000914756,11.330278058,37.110597442,4.104543202,487.547504867
riverarebecca@gmail.com,"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,34.305556630,13.717513665,36.721282678,3.120178783,581.852344035
mstephens@davidson-herman.com,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,33.330672524,12.795188551,37.536653301,4.446308318,599.406092046
alvareznancy@lucas.biz,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,33.871037879,12.026925340,34.476877629,5.493507201,637.102447915
katherine20@yahoo.com,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,32.021595501,11.366348310,36.683776153,4.685017247,521.572174758
awatkins@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,32.739142938,12.351958973,37.373358859,4.434273435,549.904146105
vchurch@walter-martinez.com,"860 Lee Key
West Debra, SD 97450-0495",Salmon,33.987772896,13.386235276,37.534497342,3.273433578,570.200408964
bonnie69@lin.biz,"PSC 2734, Box 5255
APO AA 98456-7482",Brown,31.936548618,11.814128295,37.145168224,3.202806072,427.199384895
andrew06@peterson.com,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,33.992572775,13.338975448,37.225806132,2.482607771,492.606012718
ryanwerner@freeman.biz,"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,33.879360825,11.584783000,37.087926071,3.713209203,522.337404607
knelson@gmail.com,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",RoyalBlue,29.532428967,10.961298400,37.420215575,4.046423164,408.640351073
wrightpeter@yahoo.com,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,33.190334044,12.959226092,36.144666700,3.918541839,573.415867331
taylormason@gmail.com,"7773 Powell Springs Suite 190
Samanthaland, ND 44358",DarkBlue,32.387975853,13.148725692,36.619957083,2.494543647,470.452733301
jstark@anderson.com,"49558 Ramirez Road Suite 399
Phillipstad, OH 35641-3238",Peru,30.737720373,12.636606052,36.213763094,3.357846842,461.780742196
wjennings@gmail.com,"6362 Wilson Mountain
Johnsonfurt, GA 15169",PowderBlue,32.125386897,11.733861691,34.894092751,3.136132716,457.847695945
rebecca45@hale-bauer.biz,"8982 Burton Row
Wilsonton, PW 88606",OliveDrab,32.338899323,12.013194694,38.385136594,2.420806161,407.704547550
alejandro75@hotmail.com,"64475 Andre Club Apt. 795
Port Dannytown, PW 63227",Cyan,32.187812046,14.715387544,38.244114594,1.516575581,452.315675480
samuel46@love-west.net,"544 Alexander Heights Suite 768
North Johnview, MT 57912",LightSeaGreen,32.617856063,13.989592556,37.190503800,4.064548550,605.061038805
megan33@gmail.com,"84426 Julia Vista
North Teresa, KY 50756",PeachPuff,32.912785111,11.365492026,37.607792524,4.599937358,534.705743806
agolden@yahoo.com,"PSC 2490, Box 2120
APO AE 15445-2876",Black,33.503087257,12.877983696,37.441021336,1.559151940,419.938774839
vstafford@hotmail.com,"PSC 5723, Box 8159
APO AA 74738",Olive,31.531604483,13.378562784,38.734006290,2.245147787,436.515605729
denise22@hernandez-townsend.com,"USNS Cardenas
FPO AA 85439-9449",Silver,32.903250973,11.657575922,36.772603761,3.919302309,519.340989131
youngbarbara@yahoo.com,"019 Elliott Tunnel Suite 190
Nicholsbury, WV 60804-4440",Wheat,34.507550999,12.893669504,37.635755878,5.705153971,700.917091617
william25@mcconnell.com,"9495 Mary Fall Apt. 777
Glassport, ND 17957-5596",Teal,33.029331954,11.765812645,37.738524946,2.721735992,423.179991681
ijones@schaefer-carr.net,"657 Judith Crossroad
Hancockchester, VI 75658-5788",Linen,33.541231313,12.783891784,36.430649621,4.648199316,619.895639862
heatherhall@yahoo.com,"8522 Regina Port Suite 782
Port Kaitlin, TX 50501-7264",MediumSlateBlue,32.335989637,13.007819424,37.851779169,2.996364526,486.838934765
tinasmith@martinez.info,"40000 Ann Port Suite 474
Youngberg, MS 03651",LemonChiffon,33.110205058,11.982044994,35.293087754,3.923488746,529.537665337
chasejennifer@hotmail.com,"9507 Robert Prairie Apt. 601
East Crystalview, SC 56814",DarkOrchid,33.105437942,11.965020003,37.277811742,4.742577520,554.722083833
jenniferbarnett@gmail.com,"0772 Michael Isle Suite 617
Meyerstown, WA 45449-6768",SeaGreen,33.241900434,12.305417813,36.163648171,3.062368145,497.586671300
jared39@hotmail.com,"739 David Isle Suite 818
Chandlertown, DC 34587",SteelBlue,33.461056296,10.869163814,35.622442421,3.471413452,447.687906536
briancarlson@page-fleming.com,"USCGC Gill
FPO AA 26496",DarkMagenta,32.175501238,13.387492106,35.694174986,4.343062915,588.712605510
